Date,Open,High,Low,Close,Adj Close,Volume,Class
7/9/2020,,,,,,,Test
7/10/2020,,,,,,,Test
7/11/2020,,,,,,,Test
7/12/2020,,,,,,,Test
7/13/2020,,,,,,,Test
7/14/2020,,,,,,,Test
7/15/2020,,,,,,,Test
7/16/2020,,,,,,,Test
7/17/2020,,,,,,,Test
7/18/2020,,,,,,,Test
7/19/2020,,,,,,,Test
7/20/2020,,,,,,,Test
7/21/2020,,,,,,,Test
7/22/2020,,,,,,,Test
7/23/2020,,,,,,,Test
7/24/2020,,,,,,,Test
7/25/2020,,,,,,,Test
7/26/2020,,,,,,,Test
7/27/2020,,,,,,,Test
7/28/2020,,,,,,,Test
7/29/2020,,,,,,,Test
7/30/2020,,,,,,,Test
7/31/2020,,,,,,,Test
8/1/2020,,,,,,,Test
8/2/2020,,,,,,,Test
8/3/2020,,,,,,,Test
8/4/2020,,,,,,,Test
8/5/2020,,,,,,,Test
8/6/2020,,,,,,,Test
8/7/2020,,,,,,,Test
8/8/2020,,,,,,,Test
8/9/2020,,,,,,,Test
8/10/2020,,,,,,,Test
8/11/2020,,,,,,,Test
8/12/2020,,,,,,,Test
8/13/2020,,,,,,,Test
8/14/2020,,,,,,,Test
8/15/2020,,,,,,,Test
8/16/2020,,,,,,,Test
8/17/2020,,,,,,,Test
8/18/2020,,,,,,,Test
8/19/2020,,,,,,,Test
8/20/2020,,,,,,,Test
8/21/2020,,,,,,,Test
8/22/2020,,,,,,,Test
8/23/2020,,,,,,,Test
8/24/2020,,,,,,,Test
8/25/2020,,,,,,,Test
8/26/2020,,,,,,,Test
8/27/2020,,,,,,,Test
8/28/2020,,,,,,,Test
8/29/2020,,,,,,,Test
8/30/2020,,,,,,,Test
8/31/2020,,,,,,,Test
9/1/2020,,,,,,,Test
9/2/2020,,,,,,,Test
9/3/2020,,,,,,,Test
9/4/2020,,,,,,,Test
